latin,english
passim ,"in all directions, far and wide, everywhere"
passus ,pace
pater ,father
patior ,"suffer, endure, allow"
patria ,"homeland, native land"
pauci ,"few, a few"
paulatim ,"gradually, little by little"
paulisper ,for a short time
"paulum, paulo ","a little, somewhat"
pauper ,poor
pax ,peace
pecunia ,money
pedes ,infantry
pello ,"push, drive, rout"
per ,"through, throughout, along"
perdo ,"destroy, lose"
pereo ,"die, perish, be ruined"
perficio ,"bring about, complete, perfect"
periculum ,danger
peritus ,skilled (in)
permitto ,"hand over, entrust, permit, allow"
persuadeo ,"persuade, convince"
perterritus ,"very frightened, terrified"
pervenio ,"reach, arrive"
pes ,foot
peto ,"seek, ask for, make for, attack"
pilum,javelin
placet ,"it pleases, suits, it is resolved"
plebs ,"the people, common people"
plenus ,"full, filled"
plerique ,"most, the majority"
poena ,"punishment, penalty"
polliceor ,promise
pono ,"put, place, set up (camp)"
pons ,bridge
populus ,"people, nation"
porta ,gate
porto ,"carry, bear, take"
portus ,"harbour, port"
posco ,"demand, ask for"
possum ,"can, be able"
post ,"behind, after"
post ,"afterwards, next"
postea ,"afterwards, then"
postquam ,"after, when"
postremus ,last
postridie ,on the next day
postulo ,"demand, ask"
potens ,powerful
potestas ,"power, authority, opportunity"
potior ,"seize, get possession of"
potius ,"rather, more"
praebeo ,"provide, give, show, offer"
praeda ,"booty, plunder"
praemium ,"prize, reward"
praeficio ,put in charge (of)
praesidium ,"protection, garrison, fortification"
praesum ,be in charge of
praeter ,"beyond, except, besides"
praeterea ,"besides, moreover, in addition"
praetor ,praetor (acted as judge or governor)
precor ,"pray, pray to, beg"
pretium ,"price, value"
primus ,"first, chief"
princeps ,"emperor, chief, chieftain"
prior ,"previous, former"
prius ,"before, previously"
priusquam ,"before, until"
pro ,"in front of, for, on behalf of, in return for"
procedo ,"advance, proceed"
procul ,"far away, distant"
prodo ,"betray, surrender"
proelium ,battle
proficiscor ,"set out, depart"
progredior ,"advance, proceed"
promitto ,promise
prope ,near
propter ,"on account of, because of"
provincia ,province
proximus ,"nearest, next, last"
publicus ,"public, common"
pudor ,"shame, modesty, honour, disgrace"
puella ,girl
puer ,boy
pugna ,"fight, battle"
pugno ,fight
punio ,punish
puto ,"think, consider, reckon"
quaero ,"search for, ask for, ask, inquire"
qualis?,what sort of?
quam ,"how, than, as"
quamquam ,although
quando? ,when?
quantus? ,how big? how much?
quasi ,"as if, just as, nearly"
-que ,and
queror ,complain
qui ,"who, which, that"
quia ,because
quidam ,"one, a certain, some"
quidem ,"indeed, in fact, however"
ne ... quidem ,not ... even
quies ,"rest, peace, quiet"
quis?,who? what? any
quisquam ,"anyone, anything"
quisque ,"each, each one, every"
quisquis ,"whoever, whatever"
quo? ,where to?
quoad ,"as long as, until"
quod ,"because, (as to) the fact that"
quomodo? ,how? in what way?
quoniam ,since
quoque ,"also, too"
quot? ,how many?
quotiens? ,how often? as often as
rapio ,"seize, grab, carry off, plunder"
ratio,"account, reckoning, manner, reason"
recens ,"recent, fresh"
recipio,"regain, receive, welcome"
recito ,"recite, read aloud"
rectus ,"straight, direct, right, proper"
reddo ,"give back, restore, hand over, make"
redeo ,"return, go back, come back"
refero ,"bring back, report, refer"
reficio ,"repair, restore, refresh"
regina ,queen
regnum ,"kingdom, reign, rule"
rego ,"rule, direct"
regredior ,"go back, return"
relinquo ,"leave, leave behind, abandon"
reliquus ,"the rest of, the other"
repente ,suddenly
res ,"thing, affair, matter, business"
res publica ,"state, republic"
resisto ,"resist, oppose"
respondeo ,"answer, reply"
responsum ,"answer, reply"
retineo ,"hold back, restrain, keep"
rex ,king
ripa ,bank
rogo ,"ask, ask for"
rumpo,"break, burst, break through"
rursus ,"back, again"
rus ,"country, countryside"
sacerdos ,"priest, priestess"
saepe ,often
saevus ,"savage, cruel"
salus ,"health, safety, greeting"
saluto ,"greet, salute"
sanguis ,blood
sapiens ,"wise, sensible"
sapientia ,"wisdom, good sense"
satis ,enough
scelus ,"crime, wickedness"
scio ,know
scribo ,write
scutum ,shield
se ,"himself, herself, itself, themselves"
secundus ,"following, next, second, favourable"
sed ,but
sedes ,"seat, temple, home"
semel ,once
semper ,always
senator ,senator
senatus ,senate
senex ,old man
sententia ,"opinion, judgement, sentence"
sentio ,"feel, notice, hear, judge"
sequor ,"follow, pursue, attend"
servo ,"save, protect, keep"
servus ,slave
si ,if
sic,"thus, in this way"
sicut,"just as, like, as, as if"
signum ,"sign, signal, standard"
silentium ,silence
silva ,"wood, forest"
similis ,"similar, like"
simul ,"at the same time, together"
"simulac,",as soon as
sine ,without
sinister ,"left, on the left, unfavourable"
sinistra ,"left hand, left side"
sino ,"allow, permit"
"sive, seu ","or if, whether"
socius ,"ally, comrade, companion"
sol ,"sun, sunlight"
soleo ,be accustomed
solum ,only
solus ,"alone, only, lonely, single"
solvo ,"loose, pay"
somnus ,sleep
sonus ,"noise, sound"
soror ,sister
spatium ,"interval, space, distance"
specto ,"look at, watch"
sperno ,"despise, reject, scorn"
spero ,"hope, expect"
spes ,hope
spolium ,"booty, spoil(s)"
statim ,"at once, immediately"
statuo ,"fix, determine, decide, arrange"
sto ,"stand, stand firm"
studium ,"eagerness, study, devotion"
stultus ,"stupid, foolish"
sub ,"under, beneath; up to"
subito ,suddenly
sum ,be
summus ,"highest, greatest, top (of)"
sumo ,"take, take up"
supero ,"overcome, overpower"
supersum ,"be left, remain, survive"
superus ,"upper, higher"
surgo ,"get up, stand up, rise"
suscipio ,"take up, undertake, begin, bear"
suspicor ,"mistrust, suspect"
suus ,"his (own), her (own), its (own), their (own)"
taberna,"shop, inn"
tacitus ,"quiet, silent, in silence"
talis ,such
tam ,so
tamen ,"however, nevertheless, yet"
tandem ,"at last, finally"
tango ,touch
tantum ,only
tantus ,"so great, such a great, so much"
tectum ,"roof, house"
tego ,"cover, protect, hide"
telum,"weapon, javelin, missile"
tempestas ,"weather, storm, time"
templum ,temple
tempus ,time
teneo,"hold, keep, maintain"
tergum ,"back, rear"
terra ,"ground, land, earth"
terreo ,frighten
terror ,"terror, panic"
timeo ,"fear, be afraid"
timor ,"fear, anxiety"
tollo ,"raise, lift up, remove, destroy"
tot ,so many
totus ,"the whole, entire, all"
trado ,"hand over, entrust, hand down, surrender"
traho ,"pull, drag, draw"
trans ,"across, over"
tristis ,"sad, gloomy, grim"
tu ,you (singular)
tum ,"then, next"
tumultus ,"uproar, disturbance, civil war"
turba ,"crowd, mob, disturbance, multitude"
tutus ,safe
tuus ,your (singular)
ubi ,"where? where, when"
ubique ,everywhere
ullus ,any
ultimus ,"furthest, last, utmost"
umquam ,ever
una ,together
unda ,wave
unde ,"from where, whence"
undique ,"from all sides, on all sides"
urbs ,"city, town, Rome"
usque ,"all the way, right up to, continuously"
usus ,"use, experience, practice"
ut ,"as, where, when, how"
ut ,"that, so that, to"
uter? ,which (of two)? 
uterque ,"each (of two), both"
utrum ,whether
utor ,"use, enjoy"
uxor ,wife
valeo ,"be strong, have influence"
validus ,"strong, powerful"
-ve ,or
vehementer ,"violently, loudly, strongly"
veho,"carry, bear, convey"
vel ,"or, either"
velut ,"just as, like, as, as if"
venio ,come
ventus ,wind
verbum ,word
vereor ,"fear, be afraid"
vero ,"indeed, in fact, however"
verto ,turn
verus ,"true, real"
vesper ,evening
vester ,your (pl)
vestis ,clothes
veto ,"forbid, order…not"
vetus ,old
via ,"street, road, way, path"
victor ,"victor, conqueror"
victoria ,victory
video,see
videor ,"seem, appear, be seen"
villa ,"country-house, estate, farm"
vinco,"conquer, defeat, win, be victorious"
vir ,"man, husband"
virtus ,"courage, virtue"
vis ,"force, violence; (pl) strength, forces"
vita ,life
vito ,avoid
vivo ,"live, be alive, (+ abl) live on"
vivus ,"alive, living"
vix ,"hardly, scarcely, with difficulty"
voco ,"call, summon, invite, name"
volo ,"want, wish, be willing, intend"
vos ,you (plural)
vox ,"voice, shout, word"
vulnero ,"wound, injure"
vulnus ,"wound, injury"
vultus ,"face, expression"
